OBJECTID,ZO_ZONE,ZO_ORDINANCE,ZO_SPEC_CODE,ZO_PROJ_NUM,ZO_UPDATE_NUM,ZO_ZONE_DATE,ZO_ZONE_ORD,ZO_UPD_DATE,agstype,SHAPE_Length,SHAPE_Area,ZO_MAINT_TASK_ID,ZO_GIS_START_DATE,ZO_GIS_END_DATE
1, , ,NV,NO VALUE,NO VALUE,1899-12-30T00:00:00.000Z,NO VALUE,1899-12-30T00:00:00.000Z, ,0,0, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
2,A10,1993 R,,ZMAP-1998-0009,Z2000-0001,1900-01-01T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,13558.9458511904,9888971.73783357, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
3,A10,1993 R,,ZMAP-1997-0011,Z2000-0002,1998-06-03T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,15239.6193764764,13383341.2183774, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
4,A10,1993 R,,ZMAP-0000-0293, ,1980-05-19T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,10495.8358559861,5402650.09365426, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
5,A10,1993 R,,ZMAP-1995-0011, ,1996-09-18T00:00:00.000Z,A10   1993,2015-10-08T00:00:00.000Z,A10,8483.32766931248,2743746.50535189, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
6,A10,1993 R,,ZMAP-2000-0004,Z2002-0002,2001-10-15T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,13992.6332051686,8409871.11010114, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
7,A10,1993 R,,ZMAP-1999-0013,Z2001-0005,2000-12-18T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,8210.09539703346,2774239.84467406, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
8,A10,1993 R,,ZMAP-1987-0025, ,1988-06-20T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,7569.13401878164,3109151.00730137, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
9,A10,1993 R,,ZMAP-1985-0010, ,1986-04-21T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,15343.054357114,9522835.08920005, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
10,A10,1993 R,,ZMAP-1987-0037, ,1988-08-01T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,14696.2382851331,13119722.7045495, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
11,A10,1993 R,,ZMAP-1998-0002, ,1999-01-20T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,20603.8248688082,23329197.1648917, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
12,A10,1993 R,,ZMAP-1996-0006, ,1997-01-02T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,28601.4105454082,23734078.576783, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
13,A10,1993 R,,ZMAP-1997-0007, ,1997-12-03T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,10023.3680278384,3682616.60546468, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
14,A10,1993 R,,ZMAP-1987-0008,Z2000-0003,1988-05-21T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,11955.0922550851,5379279.47178672, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
15,A10,1993 R,,ZMAP-1987-0021,Z2000-0004,1988-07-05T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,10989.529388469,7245280.53862659, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
16,A10,1993 R,,ZMAP-1999-0020,Z2001-0009,2001-04-02T00:00:00.000Z,A10   1993,2012-04-16T00:00:00.000Z,A10,8503.22622381785,2321987.9787095, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
17,A3,1993 R,, ,Z2001-0017,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,9232.62461976068,4688815.57199484, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
18,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,1590.00351122449,145603.49111147, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
19,A3,1993 R,,ZMAP-1998-0005, ,1999-05-05T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,2036.16970536814,231862.166014464, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
20,A3,1993 R,,ZMAP-1998-0005, ,1999-05-05T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,636.506477630203,8584.89578578146, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
21,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,4869.47805746691,466867.27142044, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
22,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,1770.4661075332,139934.535932489, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
23,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,2766.76411481991,299961.750842938, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
24,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,13853.7998677862,4837336.21752085, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
25,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2015-10-08T00:00:00.000Z,A3,32391.0941741629,23322128.8181818, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
26,A3,1993 R,NV, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,13090.0482795883,7644388.55040271, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
27,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,26643.7512923713,22256704.9930497, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
28,A3,1993 R,28, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,1805.66714481653,178002.545610377, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
29,A3,1993 R,28, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,4109.30807036139,942658.274502712, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
30,A3,1993 R,,ZMAP-1994-0008, ,1995-05-17T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,7782.80086945256,2448013.93741316, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
31,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,2152.46268814781,133057.453004684, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
32,A3,1993 R,28,ZMAP-1988-0026, ,1988-10-17T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,2689.88880912122,434378.554525262, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
33,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,5543.47044582497,1066161.16158955, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
34,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,1415.90604979567,123948.271868774, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
35,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,7685.16872404525,2084827.10825544, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
36,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,6827.66523393064,1088068.15431529, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
37,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,6667.03068442513,922227.193902454, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
38,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,1326.79534153293,10205.4953503285, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
39,A3,1993 R,,ZMAP-1992-0006, ,1993-06-16T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,2373.83396811489,248750.112987369, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
40,A3,1993 R,, , ,1900-01-01T00:00:00.000Z,A3    1993,2012-04-16T00:00:00.000Z,A3,2559.16713863703,187539.648800106, ,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z
